comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,direccion
Cerrillos,Casa Remodelada Con Dos Departamentos Independientes,3950.0,190.0,120.0,1,3,59,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909713896-casa-remodelada-con-dos-departamentos-independientes-_JM,casa,"P.º De Las Guaguas 8192, 9201177 Cerrillos, Región Metropolitana, Chile, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa 2 Pisos 5d 2b 2estacionamientos Potencial Comercial,5000.0,237.0,139.0,2,5,62,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3211195030-casa-2-pisos-5d-2b-2estacionamientos-potencial-comercial-_JM,casa,"Avenida Los Cerrillos, 570, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
Cerrillos,Espaciosa Casa De Dos Pisos En Cerrillos-lista Para Habitar.,6368.0,250.0,189.0,2,4,0,2,True,True,True,True,False,False,False,https://portalinmobiliario.com/MLC-3116905292-espaciosa-casa-de-dos-pisos-en-cerrillos-lista-para-habitar-_JM,casa,"Los Claveles 447, Cerrillos, El Mirador, Cerrillos, RM (Metropolitana)"
Cerrillos,Remodelada Cerrillos Portal Oeste,3590.0,200.0,76.0,2,3,17,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3175041458-remodelada-cerrillos-portal-oeste-_JM,casa,"Los Nisperos 7551, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Venta Casa 4hab 3ba Comuna Cerrillos,4990.0,143.0,107.0,3,4,17,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3209939828-venta-casa-4hab-3ba-comuna-cerrillos-_JM,casa,"Avenida Aeropuerto, 7000, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Hermosa Casa En Sector Residencial,3690.0,128.0,128.0,3,4,21,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1665949455-hermosa-casa-en-sector-residencial-_JM,casa,"Maturana, 3000 - 3300, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa En Venta En Cerrillos Con Patio Y Estacionamiento,5850.0,356.0,136.0,2,3,35,4,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-1710904611-casa-en-venta-en-cerrillos-con-patio-y-estacionamiento-_JM,casa,"Los Pinos 748, Cerrillos, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa Fernández Albano Id: 124246,9000.0,164.0,85.0,5,6,5,2,False,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1632599567-casa-fernandez-albano-id-124246-_JM,casa,"Fernández Albano, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Venta Casa Habitacional Comercial,4500.0,300.0,126.0,2,5,0,3,False,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-1691280679-venta-casa-habitacional-comercial-_JM,casa,"El Aromo 5361, Cerrillos, Chile, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
Cerrillos,"Casa En Venta Uso Mixto, Cerrillos 3d 3b",5750.0,300.0,200.0,3,3,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3206655810-casa-en-venta-uso-mixto-cerrillos-3d-3b-_JM,casa,"Bremen, 480, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
Cerrillos,Hermosa Casa En Cerrillos!,2077.0,105.0,68.0,1,3,26,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3192883286-hermosa-casa-en-cerrillos-_JM,casa,"Los Satélites & El Mirador, 1 - 300, El Mirador, Cerrillos, RM (Metropolitana)"
Cerrillos,Estupenda Casa 4d 3b En Micro Barrio Del Sector Portal Oeste,4699.0,132.0,107.0,3,4,6,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1717816149-estupenda-casa-4d-3b-en-micro-barrio-del-sector-portal-oeste-_JM,casa,"Dirigente Ricardo Yusta Molina, 2450 2600, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 102808,7500.0,150.0,137.0,3,4,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2938225118-casa-profesor-joaquin-parra-castillo-id-102808-_JM,casa,"Profesor Joaquín Parra Castillo, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa En Villa Suiza Entregada Solo Hace 5 Años,5750.0,340.0,220.0,3,4,5,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909595074-casa-en-villa-suiza-entregada-solo-hace-5-anos-_JM,casa,"Florencia 4798, 9230030 Cerrillos, Región Metropolitana, Chile, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 106958,6890.0,180.0,152.0,3,4,10,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3181257390-casa-profesor-joaquin-parra-castillo-id-106958-_JM,casa,"Profesor Joaquín Parra Castillo, Plaza Oeste, Cerrillos, RM (Metropolitana)"
Cerrillos,Casa En Venta De 3 Dorm. En Cerrillos,5750.0,300.0,200.0,3,3,8,4,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1710972909-casa-en-venta-de-3-dorm-en-cerrillos-_JM,casa,"Florencia, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)"
